mass1,radius1,vx1,vy1,vz1,x1,y1,z1,ax1,ay1,az1,mass2,radius2,vx2,vy2,vz2,x2,y2,z2,ax2,ay2,az2,time
7.72659656623814e+32,21509020612.77471,593046.4061779447,984510.1161145585,-36052.667576013446,2902410496761.215,-4720164395100.21,-96869153957.08221, -0.14686140269191353,0.3110236162332994,0.008618949534180667,1.1933519999999997e+33,21509020612.77471,-1108051.8339148406,-1522282.8156479583,-3338.2799721523925,-5115199509721.318,8116210169839.217,-2453038066.0256104, 0.280889300640738,-0.4490062972440332,-0.003364506116221024, 361152.0
7.72659656623814e+32,21509020612.77471,590690.4436041005,989479.2543068687,-35824.16920173942,2912638160827.3223,-4703109758455.604,-97490346390.16483, -0.15148107288374316,0.31769308521586137,0.016884318040520013,1.1933519999999997e+33,21509020612.77471,-1103613.1997031346,-1529352.8602417107,-3391.5296032096344,-5134308756260.803,8089844705121.072,-2511177944.0449014, 0.28290688019127314,-0.4493478509914328,-0.0033983068904061484, 362880.0
7.72659656623814e+32,21509020612.77471,588088.4300468711,995061.729253633,-35500.92082871911,2922821480533.0,-4685960156518.399,-98106578971.90402, -0.15379145073174233,0.3200064779155755,0.02398919811021232,1.1933519999999997e+33,21509020612.77471,-1098644.0186650888,-1537214.7562175808,-3451.338705183219,-5153333474085.524,8063345067283.449,-2570333578.1347094, 0.28516244898258625,-0.44972698134719713,-0.003437688689334766, 364608.0
7.72659656623814e+32,21509020612.77471,585382.8591160793,1000639.6350999845,-35096.0693583365,2932959390398.1445,-4668715272992.674,-98716491966.08698, -0.16091059081374542,0.31736111206575573,0.026906050368683848,1.1933519999999997e+33,21509020612.77471,-1093635.2019610163,-1545083.2867308308,-3511.842789936621,-5172273002362.96,8036711152475.388,-2630516483.902727, 0.28743768586641755,-0.4501050656047864,-0.0034782380021613287, 366336.0
7.72659656623814e+32,21509020612.77471,582542.0151609275,1006205.6924831407,-34524.4928288561,2943049809837.3525,-4651375157273.212,-99318023164.90288, -0.1660150271309996,0.32298616095516985,0.030889951664899037,1.1933519999999997e+33,21509020612.77471,-1088586.4308489934,-1552958.4103911067,-3573.057954629622,-5191126669816.018,8009942849176.812,-2691738569.331485, 0.2897305223885163,-0.45048191822849293,-0.003518100082002779, 368064.0
7.72659656623814e+32,21509020612.77471,579607.7321141374,1011778.9411010427,-33990.543612489986,2953091228996.907,-4633939909044.282,-99910120802.37033, -0.17885454966023412,0.3159863089573491,0.03180499138539629,1.1933519999999997e+33,21509020612.77471,-1083497.3831486136,-1560840.1455699578,-3634.9983726768996,-5209893799909.882,7983040046184.75,-2754011925.185752, 0.2920414193719309,-0.45086101483339613,-0.0035598430141618497, 369792.0
7.72659656623814e+32,21509020612.77471,575763.6467138657,1017332.1878169902,-33432.83932824892,2963076121759.8037,-4616409950177.577,-100493077630.19073, -0.23009373576534253,0.32207067463237193,0.03722626599334261,1.1933519999999997e+33,21509020612.77471,-1078368.0475949312,-1568727.5242144591,-3697.80509205017,-5228573713062.427,7956002639078.992,-2817349866.211916, 0.29435070743190955,-0.4511761489033323,-0.003609217840342208, 371520.0
7.72659656623814e+32,21509020612.77471,571662.3152794859,1022956.825100508,-32628.37481533862,2972991932311.028,-4598784466520.066,-101064384677.31195, -0.23444211636166756,0.3243181944087305,0.04590595332943763,1.1933519999999997e+33,21509020612.77471,-1073197.9057568943,-1576621.3640017589,-3761.3075701435555,-5247165726026.069,7928830527815.788,-2881765848.3242693, 0.2966922716678801,-0.4515526834693911,-0.0036491275679609693, 373248.0
7.72659656623814e+32,21509020612.77471,567385.4260311791,1028573.4922027792,-31839.60422384285,2982836512324.8145,-4581062757840.412,-101621654760.2863, -0.24754932061663218,0.3166091286736711,0.0380197688899897,1.1933519999999997e+33,21509020612.77471,-1067986.5828269399,-1584521.7899097102,-3825.525467184938,-5265669147779.38,7901523601483.65,-2947271584.332477, 0.2990585176913674,-0.45192698070783993,-0.0036916559129111233, 374976.0
7.72659656623814e+32,21509020612.77471,563401.0988660307,1033488.0250382359,-31192.39145085141,2992606476237.57,-4563246583257.109,-102166163079.34848, -0.24878110661851055,0.31299698153709815,0.034971851098311545,1.1933519999999997e+33,21509020612.77471,-1063260.8478117017,-1591637.7917024505,-3883.940839388754,-5284083220236.512,7874081658820.227,-3013880044.779922, 0.3012044748881767,-0.45226648980351203,-0.0037274231953976058, 376704.0
7.72659656623814e+32,21509020612.77471,558999.4024701027,1038991.1514793986,-30580.62711229801,3002301495027.2246,-4545336651629.266,-102699262593.43362, -0.25699960051284587,0.315144294849527,0.03128755639520444,1.1933519999999997e+33,21509020612.77471,-1057970.2862439665,-1599550.7142503737,-3949.518012980766,-5302407249560.231,7846504604887.297,-3081603138.642764, 0.3036041180481713,-0.4526425700772333,-0.00376854418513327, 378432.0
7.72659656623814e+32,21509020612.77471,554511.8572471857,1044376.1417213697,-29925.54887393452,3011920176933.1543,-4527333704365.467,-103221841197.23068, -0.2550168268067073,0.30463215762600204,0.03200561369160696,1.1933519999999997e+33,21509020612.77471,-1052637.563397906,-1607470.2080385666,-4015.824482377722,-5320640576501.993,7818792402919.655,-3150452342.6443295, 0.306024094602828,-0.453018312340055,-0.0038108091696002423, 380160.0
7.72659656623814e+32,21509020612.77471,550117.2683935965,1049666.861645407,-29371.83511747469,3021463065439.843,-4509239724674.774,-103733951094.84106, -0.24511292043498983,0.29996514096301624,0.02577427115296177,1.1933519999999997e+33,21509020612.77471,-1047262.3447307929,-1615396.2689991177,-4082.8653908888255,-5338782487058.695,7790944942119.77,-3220440033.0103116, 0.30846177555618204,-0.4533929396181257,-0.003853410387784794, 381888.0
